rootForm,definition,rootID,pos,subPos
omuundu,person,1,Noun,Singular
βaβaandu,person,1,Noun,Plural
kúmúsíiŋgi,foundation,2,Noun,Singular
kímísíiŋgi,foundation,2,Noun,Plural
siipurupuru,butterfly,3,Noun,Singular
βiipurupuru,butterfly,3,Noun,Plural
éxeeŋeeŋgéle,heel,4,Noun,Singular
tʃíxeeŋeeŋgéle,heel,4,Noun,Plural
líisaandúku,box,5,Noun,Singular
kámasaandúku,box,5,Noun,Plural
kúuβwa,dog (aug.),6,Noun,Singular
kímiβwa,dog (aug.),6,Noun,Plural
xáaβwa,dog (dim.),7,Noun,Singular
βíiβwa,dog (dim.),7,Noun,Plural
βúβuuxi,honey,8,Noun,Singular
lúulomo,language,9,Noun,Singular
xúuxeβulila,to remember,10,Verb,???
xuulima,to dig (esp. with a hoe for farming)/cultivate,11,Verb,???
xuusyeeβa,to dance,12,Verb,???
se-lú-lí lúulómó tá,It's not a language,9,Noun,???
lúlomo lweéɲwé,your (pl) language,9,Noun,???
xaβwa síina,which dog (dim.)?,7,Noun,??
kúuβwa kweéfwé,our dog (aug.),6,Noun,??
βúβ-uuxi βu-lala,some honey,8,Noun,??
ndáxina,I will dance,12,Verb,Near Future
xáxine,I will dance,12,Verb,Remote Future
waáxáxina,you just danced,12,Verb,Immediate Past
βáxina,they danced,12,Verb,Remote Past
olalima,you will dig,11,Verb,Near Future
axalime,s/he will dig,11,Verb,Remote Future
ndíxóo ndíma,I am digging,11,Verb,Present
