Part-of-Speech, Sub Part-of-Speech
Noun,class 1
Noun,class 2
Noun,class 3
Verb,imperative
Verb,indicative
Verb,near future
Noun,class 4
Noun,class 5
Noun,class 6
Noun,class 7
Noun,class 8
Noun,class 9
Noun,class 10
Noun,class 11
Noun,class 12
Noun,class 13
Noun,class 14
Noun,class 16
Noun,class 17
Noun,class 18
Noun,class 19
Noun,class 20
Noun,class 21
Noun,class 22
Noun,class 23
Verb,distant future
Verb,infinitive
Verb,hesternal past
Verb,hodiernal past
Verb,distant past
Verb,reciprocal
Verb,reflexive
Verb,habitual
