ruleType,ruleSubType
Glide Formation,Palatal glide formation
Glide Formation,Labio-velar glide formation
Nasal Deletion,Deletion before alveolar voiceless fricative
Nasal Deletion,Deletion before velar voiceless fricative
Compensatory Lengthening,Lengthening of u
Compensatory Lengthening,Lengthening of a
Compensatory Lengthening,Lengthening of o
Compensatory Lengthening,Lengthening of i
Compensatory Lengthening,Lengthening of e
Vowel Height Leveling,a low vowel and a high front vowel level to a mid front vowel
